rut,nombres,apellidos,direccion,ciudad,telefono,email,fechaNacimiento,estadoCivil,comentarios
12345678-9,Ana María,Gómez López,Av. Libertador Bernardo O'Higgins 123,Santiago,+56 9 1234 5678,ana.gomez@email.com,1985-03-15,casado,Paciente con control periódico por hipertensión
98765432-1,Carlos Alberto,Rodríguez Silva,Calle Los Alerces 456,Valparaíso,+56 9 8765 4321,carlos.rodriguez@email.com,1978-07-22,soltero,Alergia a penicilina
11222333-4,María Fernanda,Martínez Rojas,Pasaje Los Olmos 789,Concepción,+56 9 5555 6666,maria.martinez@email.com,1990-11-08,soltero,Control embarazo - 24 semanas
44555666-7,Juan Pablo,Soto Vargas,Av. Las Condes 2345,Santiago,+56 9 7777 8888,juan.soto@email.com,1982-05-30,casado,Diabetes tipo 2 - control estable
77888999-K,Laura Patricia,Fernández Castro,Calle Los Pinos 567,Viña del Mar,+56 9 3333 2222,laura.fernandez@email.com,1975-12-10,divorciado,Artritis reumatoide en tratamiento
10111222-3,Pedro Antonio,López Mendoza,Av. Providencia 890,Santiago,+56 9 4444 5555,pedro.lopez@email.com,1988-09-25,union,Deportista - control rutinario
13141516-9,Camila Andrea,Díaz Navarro,Calle Los Robles 1234,La Serena,+56 9 6666 7777,camila.diaz@email.com,1993-02-14,soltero,Migraña crónica
17181920-1,Roberto José,Pérez González,Av. Alemania 5678,Valdivia,+56 9 8888 9999,roberto.perez@email.com,1970-08-18,casado,Post operatorio - recuperación favorable
21222324-5,Isabel Cristina,Ramírez Soto,Pasaje Los Arrayanes 901,Temuco,+56 9 2222 3333,isabel.ramirez@email.com,1987-04-05,soltero,Asma bronquial controlada
25262728-0,Miguel Ángel,Torres Herrera,Calle Los Laureles 234,Antofagasta,+56 9 1111 2222,miguel.torres@email.com,1980-11-30,casado,Hipercolesterolemia en tratamiento
30313233-4,Patricia Elena,Mendoza Ríos,Av. Los Plátanos 567,Santiago,+56 9 9999 0000,patricia.mendoza@email.com,1983-06-12,casado,Control tiroideo mensual
34353637-8,Jorge Luis,Silva Castro,Calle Los Nogales 890,Valparaíso,+56 9 1212 3434,jorge.silva@email.com,1972-09-25,divorciado,Hipertensión arterial
38394041-1,Carolina Andrea,Núñez Pizarro,Pasaje Los Cerezos 123,Concepción,+56 9 4545 6767,carolina.nunez@email.com,1991-03-18,soltero,Ansiedad generalizada
42434445-5,Francisco Javier,Ortega León,Av. Los Olivos 456,Viña del Mar,+56 9 7878 9090,francisco.ortega@email.com,1986-12-05,casado,Lumbalgia crónica
46474849-0,Daniela Paz,Figueroa Mora,Calle Los Cipreses 789,Santiago,+56 9 2323 4545,daniela.figueroa@email.com,1979-04-30,viudo,Osteoporosis controlada
